country,year,inqlt_rate
AUSTRALIA,2016,0.33
AUSTRALIA,2018,0.325
AUSTRIA,2015,0.275
AUSTRIA,2016,0.284
AUSTRIA,2017,0.275
BELGIUM,2015,0.268
BELGIUM,2016,0.266
BELGIUM,2017,0.263
CANADA,2015,0.318
CANADA,2016,0.307
CANADA,2017,0.31
CZECH REPUBLIC,2015,0.258
CZECH REPUBLIC,2016,0.253
CZECH REPUBLIC,2017,0.249
DENMARK,2015,0.263
DENMARK,2016,0.261
FINLAND,2015,0.26
FINLAND,2016,0.259
FINLAND,2017,0.266
FRANCE,2015,0.295
FRANCE,2016,0.29100000000000004
FRANCE,2017,0.292
GERMANY,2015,0.293
GERMANY,2016,0.294
GERMANY,2017,0.289
GREECE,2015,0.34
GREECE,2016,0.33299999999999996
GREECE,2017,0.319
HUNGARY,2015,0.284
HUNGARY,2016,0.28
HUNGARY,2017,0.289
ICELAND,2015,0.257
IRELAND,2015,0.298
IRELAND,2016,0.309
IRELAND,2017,0.295
ITALY,2015,0.33299999999999996
ITALY,2016,0.327
ITALY,2017,0.33399999999999996
JAPAN,2015,0.33899999999999997
SOUTH KOREA,2015,0.35200000000000004
SOUTH KOREA,2016,0.355
SOUTH KOREA,2017,0.355
LUXEMBOURG,2015,0.306
LUXEMBOURG,2016,0.305
LUXEMBOURG,2017,0.327
MEXICO,2016,0.45799999999999996
NETHERLANDS,2015,0.28800000000000003
NETHERLANDS,2016,0.285
NORWAY,2015,0.272
NORWAY,2016,0.262
NORWAY,2017,0.262
POLAND,2015,0.29100000000000004
POLAND,2016,0.285
POLAND,2017,0.275
PORTUGAL,2015,0.336
PORTUGAL,2016,0.331
PORTUGAL,2017,0.32
SLOVAKIA,2015,0.25
SLOVAKIA,2016,0.24100000000000002
SPAIN,2015,0.344
SPAIN,2016,0.341
SPAIN,2017,0.33299999999999996
SWEDEN,2015,0.278
SWEDEN,2016,0.282
SWEDEN,2017,0.282
SWITZERLAND,2015,0.29600000000000004
TURKEY,2015,0.40399999999999997
UNITED KINGDOM,2015,0.36
UNITED KINGDOM,2016,0.35100000000000003
UNITED KINGDOM,2017,0.35700000000000004
UNITED STATES,2015,0.39
UNITED STATES,2016,0.391
UNITED STATES,2017,0.39
CHILE,2015,0.45399999999999996
CHILE,2017,0.46
ESTONIA,2015,0.33
ESTONIA,2016,0.314
ESTONIA,2017,0.309
ISRAEL,2015,0.36
ISRAEL,2016,0.34600000000000003
ISRAEL,2017,0.344
ISRAEL,2018,0.348
SLOVENIA,2015,0.25
SLOVENIA,2016,0.244
SLOVENIA,2017,0.243
LATVIA,2015,0.34600000000000003
LATVIA,2016,0.34600000000000003
LATVIA,2017,0.355
LITHUANIA,2015,0.37200000000000005
LITHUANIA,2016,0.37799999999999995
LITHUANIA,2017,0.374
