"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PENSIONEXP","PUB","PC_GDP","A","2015",4.327,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2016",4.176,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2015",13.304,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2015",10.709,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2015",4.698,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2015",8.084,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2015",8.13,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2015",11.421,
"FRA","PENSIONEXP","PUB","PC_GDP","A","2015",13.909,
"DEU","PENSIONEXP","PUB","PC_GDP","A","2015",10.084,
"GRC","PENSIONEXP","PUB","PC_GDP","A","2015",16.865,
"HUN","PENSIONEXP","PUB","PC_GDP","A","2015",9.198,
"ISL","PENSIONEXP","PUB","PC_GDP","A","2015",2.073,
"IRL","PENSIONEXP","PUB","PC_GDP","A","2015",3.593,
"ITA","PENSIONEXP","PUB","PC_GDP","A","2015",16.183,
"JPN","PENSIONEXP","PUB","PC_GDP","A","2015",9.369,
"KOR","PENSIONEXP","PUB","PC_GDP","A","2015",2.915,
"KOR","PENSIONEXP","PUB","PC_GDP","A","2016",2.938,
"KOR","PENSIONEXP","PUB","PC_GDP","A","2017",3.01,
"LUX","PENSIONEXP","PUB","PC_GDP","A","2015",8.362,
"MEX","PENSIONEXP","PUB","PC_GDP","A","2015",2.233,
"MEX","PENSIONEXP","PUB","PC_GDP","A","2016",2.308,
"NLD","PENSIONEXP","PUB","PC_GDP","A","2015",5.372,
"NZL","PENSIONEXP","PUB","PC_GDP","A","2015",4.933,
"NZL","PENSIONEXP","PUB","PC_GDP","A","2016",4.927,
"NZL","PENSIONEXP","PUB","PC_GDP","A","2017",4.843,
"NOR","PENSIONEXP","PUB","PC_GDP","A","2015",6.568,
"PRT","PENSIONEXP","PUB","PC_GDP","A","2015",13.342,
"SVK","PENSIONEXP","PUB","PC_GDP","A","2015",7.339,
"ESP","PENSIONEXP","PUB","PC_GDP","A","2015",11.015,
"SWE","PENSIONEXP","PUB","PC_GDP","A","2015",7.168,
"CHE","PENSIONEXP","PUB","PC_GDP","A","2015",6.486,
"TUR","PENSIONEXP","PUB","PC_GDP","A","2015",7.099,
"TUR","PENSIONEXP","PUB","PC_GDP","A","2016",7.719,
"GBR","PENSIONEXP","PUB","PC_GDP","A","2015",6.238,
"USA","PENSIONEXP","PUB","PC_GDP","A","2015",7.053,
"USA","PENSIONEXP","PUB","PC_GDP","A","2016",7.165,
"USA","PENSIONEXP","PUB","PC_GDP","A","2017",7.056,
"CHL","PENSIONEXP","PUB","PC_GDP","A","2015",2.898,
"CHL","PENSIONEXP","PUB","PC_GDP","A","2016",2.825,
"CHL","PENSIONEXP","PUB","PC_GDP","A","2017",2.821,
"EST","PENSIONEXP","PUB","PC_GDP","A","2015",7,
"ISR","PENSIONEXP","PUB","PC_GDP","A","2015",4.777,
"ISR","PENSIONEXP","PUB","PC_GDP","A","2016",4.738,
"ISR","PENSIONEXP","PUB","PC_GDP","A","2017",4.777,
"SVN","PENSIONEXP","PUB","PC_GDP","A","2015",11.144,
"OECD","PENSIONEXP","PUB","PC_GDP","A","2015",8.02,
"LVA","PENSIONEXP","PUB","PC_GDP","A","2015",7.021,
"LTU","PENSIONEXP","PUB","PC_GDP","A","2015",6.685,
